[0613/130029.714:INFO:CONSOLE(1)] "Long rAF frame-time", source: file:///C:/Program%20Files/Adobe/Adobe%20Photoshop%202020/Required/www-rich-tooltips/build/external.js (1)
[0613/210552.780:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0613/210557.793:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0613/210602.803:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0613/210607.807:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0613/210612.823:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0613/210617.835:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0613/210622.843:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0613/210627.854:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0613/210632.866:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0613/210637.885:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0613/210642.898:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0613/210647.910:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0613/210652.961:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0613/210657.970:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
